Row Number,Source,Timestamp,Job Title,Description,Href
0,indeed,2023-10-27 08:17:06,JAVA ANALYST,"JAVA ANALYSTUmana spaCasalecchio di Reno, Emilia-RomagnaSomministrazione",https://it.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DBkioJ74HNRv1kkbLI_dqC2yEDIKgJL0nBFSYaLvAaBGR8ENRw1MhNePJiMiCHNGWXDwbbP9TuaWPBBLPR4gEFbUTwsnP2Lf88szRJF_QwRff9q76qk0lRcZm4n0Q1xSh610rzK5qi0Xj8iz-euILioFl2SbcMeFLO4PTxaFU4O_fK7OpJZuq1cODmPV_rtDvPGL43bz9p9kCPEWS2hgszEkIpqjvVlk2ch5W25xphPO5G8F5q7NsGqL-AKidLJLLG-V0sBXImFWfrGp9V87qB837w4uDqAz1R90AhngUL-OvPNRT6SbRjsWcwcc-OzrOksf6pa_078fvy6cWR-cpwbeJWg1ufORiFU1pX85QJF_TiNu-bW40SpcGuKKYC0eie80A_yIyU7I9AJ61wTitwvkE66SWyBGUh8X_Hzd_hmNgNhjxNK4HrQdt4vtykPC_RGWQQNzyvYBKNXBGszxprwNOVofjLZJkK3_A5mfAOtTun2d7A62fSrUhwQ1gbDj1BhNEzxzHKSvvOfGTLtwn4HhjgbGoHW6IYhcH2q9glwQyyYvrXvOIryxIzfbV6pOOoTzeNuDU-bkmhPegUlmXZDoUkrxHwt42ZH_09ni9YyuftF3okD-C4IPNPKxFJfYPz9yLh4utTHqyA8f4wD02Tt2nSEcs9NdCA7MKZ3epLHEuDBVo43Wim&xkcb=SoAU-_M3J3w0CTSnSB0LbzkdCdPP&p=0&fvj=0&vjs=3
1,indeed,2023-10-27 08:17:06,Programmatore PLC,Programmatore PLCARVOR HOLDING SRL40057 Granarolo dell'EmiliaTempo pieno +1Dal lunedì al venerdì,https://it.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BoOb7jEYVr-feJmds5idGNlYvH1mRVQRDJ3kvgOHYrCB_LQeWCwzoY2agFWdPKbfIgsXYDsZ_c3Ey-el6VakQH3tuBzR4gI8rcOS_sVsL7DptvKU6QMdLmb_d-O0JZeqpDO2knASJ7Ii3u_eVJU0OzRY2cDvaJUhs3xYjFl_YqeiImuO2Upxw3OxIYnQ602jXVbak6aNivOCEnjqpYcPU3Yc-WQaUhOpleyxt016ynChWknHG8RnKgudsW87ufuVIUc101hppllco5tGgEWnOuO5lCMwsL2f3sQYC5YKDArtl1VLGCwDVrMwoZH3ee0HHf3rc1uFpi3a_qwV0rUtl-iJRs8T0q4Lrktf2Yfjd_6ENEOVbODVnKxMX9qIZDA8FkeC064PU03f3oRRkzWGKAK1Fw6M2KM1c2Ip08kF1pjDhoWwDx_Ylccfas8QSCrPc9w-EUXj7D_AKemtdnQUDnIhfMzniyZvUcpzQ8NVVHd0HS6C3xg-0o5l8Um3mASU4KUZLHCw1iNyqr-MejH5lbhOfbcOP-kPMosPc40cMNEmzEsNm7i7m56upo5aJN3zHli-VjmPXbnXwcbSWsuVAWiZyupbLIofLmYdh5jXWzng==&xkcb=SoCg-_M3J3w0CTSnSB0KbzkdCdPP&p=1&fvj=1&vjs=3
2,indeed,2023-10-27 08:17:06,"PROGRAMMATORI, GESTORI DI DB E SITI","PROGRAMMATORI, GESTORI DI DB E SITIUniversitàBologna, Emilia-RomagnaTempo pienoDal lunedì al venerdì +1",https://it.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DkYNBccpwM-tWE6mZmdLweRBhglO3g_1f9UQE82h7KEwFTb2ah41JuPe_fmoPI08WnERVhuR0eA2Bb13blj6srK2QCnTsPM4YktwwEBMUEGnU7AzM7c16hIDeYyQNxHEsh8pE8UkykXmRhEDgCNg0d3SeZtijD3EvgRR018bexmb8WS1BgyXWwCtDwg_9dGNfvcVMwwzcCigLuy--qeEOJl2ywF8dPm-VJs7RFX_oLRD2Ca_uztZbomUqiUcIIgAivsaEiTnkET862lB3GiEGUNHnrCuj_SqYfuLrjk2nZFOn0eQUL6WCs7gqWfP5zbQBzTN46dvSK_TnhNz9pxvvwrKAgip_aJu6ttNk4C97yr9bA6Sjc0HpJTPkPkYu5oucbsxZfhVk0rG078Pn21KXqbKmCnuojRjnjH3YeGRj6NMfX7TH8ukYVVly3ja1mcaPGPXTxsroeIuslG6WzZG95Dlg_2vrCWOoL0uBahhSdW-cHXGjjyTTAXG5o-hb0J74_cRdM0HGKear9nJSTs0AAvT2GE7f7L8e9faReMi19dIlLQh5u8CxeGefa0FiRj0pVdWKyKi-4RKmLupcTV6ZUgQR9qxXZDB6care7lAuWO2t2HA1is34b&xkcb=SoA9-_M3J3w0CTSnSB0JbzkdCdPP&p=2&fvj=1&vjs=3
3,indeed,2023-10-27 08:17:06,Consulente gestionale,Consulente gestionaleAb Team srl40132 BolognaDa 1.300 € al meseTempo pieno +1Dal lunedì al venerdì,https://it.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DHs6vWZW1F59tVcRYaioQqZJ2hdh-segE691eaPqlLvwJnhWKjd0M7Ixtfx_K-iZic9-kLhoPyv_zkIdv_jgnLaH53d0JZO_TBlAeo5CtQAnOY2KAhrtLpViTExG8Kg8E3yGS3Z3YLUD67MkYp0vkNwLySBcLU6HoGdMjFJMOAp1hRFc3US48NwO1KpF2nT4JxmIh9ryVikrqiKaaeDo6o_pqle1tMRy2tWJ6kj2J9uDcVComKh7mItYcGlg3lxa_0utmjU5Qz00HMDTBE7I-ycEIjfv4Tieda7kvQ35dVlB85djU1Kg6_YPlhB7PsivBrnMthz4CQvI9LCPCgvB6OeT88-DS8RJ0WAfc2BuonSUUK9LfGu61ANkxpyhuDHKT-uV8nKU3xFnubyinGgDlJ6TWrnouhUDq5-YWWvtcJk4EJgzArzk8-LzBN54gwwhdLUxVgMAS2dboiOILIxFLSl0XrZ7GYcVYJLhf8Fi6XH5kSPkS-duJeBJvchABksrMz3dCbOGuBYav5HdCYeR6F75tJB_m57POlvRCEI-KnhsAnRZ3IqJ99dfQSkAalbZv6VAP3bcaA2Sw5qKuFuvDBW2wPpX4aHZWk996EXh0i9FgPZZJdlh8W&xkcb=SoCJ-_M3J3w0CTSnSB0IbzkdCdPP&p=3&fvj=1&vjs=3
4,indeed,2023-10-27 08:17:06,SVILUPPATORE JAVA,"SVILUPPATORE JAVAUmana spaCasalecchio di Reno, Emilia-Romagna",https://it.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DBkioJ74HNRv1kkbLI_dqC2yEDIKgJL0nBFSYaLvAaBGR8ENRw1MhNOJ4U1BGpLJfvTr4u0c3Dl-ZNl8SjKw_Yp-YgjZLjlPDjARbrCmeuOjmGe83nRM79YPyoou9ywXUKnVKAdo0kZ9RV8Rmfcgrf8X4IxoLd5hiCMl5lTNvVcWbI2X74RwjTef74FprYxxInBJiHSLZtrNDE3T61qK0Ak7zMXdaeC9uMDb5D5LOt0e_hDUMipF9DyHgj5oyCsZBa8mjEX3i1g87P357ylr1y2fiam7JhZcA7vdgMU6xOtKELeZeJGKrIEv6a9Bl-NXpQO3HgKP-Zlj8HNL1epMrZD1H-WzZX2kqs-OZEwpHnGjNly8tNm5R0RI-a9CArhzgaC1JatMa87OJQe_zKRbAZRTmcI5GUCM8emXIMWAFXPgBLobNB-GGLMMG044NSY3i7259VIWHvJbGvnpK-Vt1k2rwbZyf5Hkg3JmCZvfjp729f0uI7UmvHnYTR0a9KHWYYyOo7-r7WUspIF3tuinlgpuNyeGmI3oz_hWxi-B4Xekf3L6OLv22C2E9noNSjfJJxPDdndv9jXQR1yhUepghfFgVhNsUdJ6x71jUGju5DAfLmw0QlFmWkGdS0DLFpLfy5lWZBlypt0KgbDPireG8boSX8AL7C8-8LH9KWxxtwYAomGjo5Ot_A&xkcb=SoAH-_M3J3w0CTSnSB0PbzkdCdPP&p=4&fvj=0&vjs=3
5,indeed,2023-10-27 08:17:06,"TECNICO PROGRAMMATORE SISTEMI BUILDING AUTOMATION, HVAC, KNX, DALI e BMS","TECNICO PROGRAMMATORE SISTEMI BUILDING AUTOMATION, HVAC, KNX, DALI e BMSIRIDIUS ITALIA Srl40033 Casalecchio di RenoTempo pieno +2Dal lunedì al venerdì",https://it.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DhEFAxB3_NIsQinoSe9mG5IracHeCOAC9UncI8ttcDNzBCqOybJ25IXUfL4dM4DB9sPAZ6JDqiQp2zXUpON47EPq727C9zLwcRf1HFhorf96XMWjF273fnFyG7bu6QCGpfi21S6wdjzpLsRs7OdqjpygWg0OV170qIzGvOLVDuuAQeoLkFbTugXGA5qUxtYTHfDEtDDJxAmWL63ScA7uLz3pque-FI6zN93brWF4NXLpMEORCz-yWvKTmCqT18Kr9AvoANSwF6RnDkaPvi3hczLx9akypJ0_Hq8Z8ngmkewsyt5hfsFx08U0uHU2SFkTDD8gZIQfCVEp1BjeDTxep3EZfPpacUNlhHVe-ytCHXFtb7RPI1lwnzXC0cZ4L_G30oZA87uBDSan8z6ycWoGECpDzJf7LVcBoH8H9FSJfjfafl2S_d858OpBy1supH1KhSEj2hkG8qWCJ_a3bF134iJFh40Bluqk3E9IxErKuFJbRJxPjDhuGVG5V5KuUbnPkIG7ZgVUKkjdPPVi5gT-Mm-JxcdkUzxHdEMq01ed6__zBoM3ZsK6G8IzRU-_BiYDfzIN_MhriH0FPz7EtatTnApmzz-t8PN7OtZVrQQFgjq8vMXnIF-nEnRz1T1gfPp9L65WPKSAuXD3u97TFMcWbFmHsB5z3NkdM=&xkcb=SoCz-_M3J3w0CTSnSB0ObzkdCdPP&p=5&fvj=1&vjs=3
6,indeed,2023-10-27 08:17:06,PROGRAMMATORE JUNIOR,"PROGRAMMATORE JUNIORUmana spaSan Lazzaro di Savena, Emilia-RomagnaTempo pieno +1Dal lunedì al venerdì",https://it.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DBkioJ74HNRv1kkbLI_dqC2yEDIKgJL0nBFSYaLvAaBH6ltTogr4YRyR0g8lidqG_unmLY3-1zmRUW9ukSisz5GJXF_iZoH_O4HxIwYsGig1WNeeW5C2wnVpV4serBlr_GyuFoQGXoBOssLOZ9uVpj_ptRt5ZtgVi2f1XWmxAtMtLWGUFnbP45T4XuQLVLv9JlLgM4ZUXnPoBpWIccAbPhflHkbze-0CBoJ71AfTLd_n8J3iuJDibR0SXxKHUIcBObMTJJzHnoBZdI7cBvrAzzQq1slmpRyNHez0kBsZgbXea9WO4RjN2acME7MhQxkuSTgMmKsdN_Rg9O3Z1DD0Kv4e7OiHdSxhOR8q1T69XSIZZ-BiANySvb7r3zsCXAtL6jP-xmoPJkcj3-Lv-Lgb3fhqiDvEFK1KFyOXj1gnR5wUyRvGA7RNDzplBPIgffk-v7aq1iOG3Q_pR41gT_Dy_0aslYj_Z1664DTpup7NkYZczfwWNzdSo2-WFm5aGpDKKfCh5jts4vCJlhj568iITKspnzk7OYDAO2Tn6M8QuyMVTfnEvFmsEB6SaDGSfVriblFDRb5NUS0pHlOdwKzJa6VjpbLXwj3P7kwkmbMv7ySzo9MCtKqGmzYDC0aH3KfMMeZuEPRFr0oNaD96SoqoeWF0T_PEVkj2ZtHFgFnsQkEfhMrHcgrLv_&xkcb=SoAu-_M3J3w0CTSnSB0NbzkdCdPP&p=6&fvj=0&vjs=3
7,indeed,2023-10-27 08:17:06,Analista/programmatore Junior,"Analista/programmatore JuniorNEXT Software SolutionsBologna, Emilia-Romagna",https://it.indeed.com/rc/clk?jk=e9f7c64f06257e92&fccid=aa44029f7c72b76a&vjs=3
8,indeed,2023-10-27 08:17:06,Programmatore informatico junior,"Programmatore informatico juniorSipra EngineeringCastel Maggiore, Emilia-RomagnaTempo pienoFestivo",https://it.indeed.com/rc/clk?jk=6ba813c14f309691&fccid=f8451c551db71cab&vjs=3
9,indeed,2023-10-27 08:17:06,Programmatore Robot di Saldatura,"Programmatore Robot di SaldaturaMinerbio, Emilia-RomagnaTempo pieno +1",https://it.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ClZqaX-sKdGgzOio3yhb4AvR-vSPstYNRqTmgyaFf4FWqU3sX8KoMZ0tRZ83zBa_Ww2_DHAxOUthNfhefZtb8Cq55rHnfLpRvVJXPW3T_45wsVB1noLMoORqAjtzl7-YChaUqwFd9Luuy0ETcC4ESxGye8mFwc3s3SEzhJmmD6m7cQ8U-ccQCzNNEYTTcXudT99DOgAPUsI9e2GUKIiuU-4WIkdgTcC1vV2czguB94lr2sT_a5fD_7KlOvTVIpdPdVkf2wCPB6zfFrvbBpDmezla8_HqIDHwFmsdE0ESU9evi5irNZQjr1_v9ZvzFPaOvhB_0PY-RoOCKWSwKQMbNnhzJnlW34b-8iIuIrJTkHuVCxDnaVGh8SgZ2cvusaWzy7h2y0hDNS9DWbQbZUCV2nxmwLjygwHZLoO1hDNgBua-ezOkzfRvsnSz6EyxMRIcMcgUouLOIwsnS4I8DbNxokCQfCY3c5vKlIxRYGwcGlrkANZoedmig8ms1SpHcfTUeSdLihA4v701a3yTbzxOIbNeBuRpthAGu1-XAK3teYxjOBpl8oTFQekFt3z5YgMp6r3sSo2s5yuEF7cFH42DEHU1r8Qpbny5hYgvoaQNJIRcr5MO_cR-4STifnRjdcNJjj6EH77k5FlDUzbnQvU2PmUzzX6p9erGmcKAtjioEZpYZEjm_7qDr8N51mlH86MjKkwVCTCFiRWL72n03sj9sQyPcILLwqm0XEUZiF-RuC-T-D-LtBt6401ganUSrGZnnW5ThvK_tCfdB9_v3Ths7Ks2rhKKKH6vf-_XaLBpBgZuRxYRyc-jlySRWYrbWniCjFhZTtqM34Z4YNXMOJQmSXz2HYG30RFIey8V2uQq7EUg==&xkcb=SoDH-_M3J3w0CTSnSB0CbzkdCdPP&p=9&fvj=0&vjs=3
10,indeed,2023-10-27 08:17:06,ANALISTA PROGRAMMATORE WEB,ANALISTA PROGRAMMATORE WEBPraxiItaliaTempo pieno +1,https://it.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AcL4lob2dZ0NniNnkZtaI5hHImFaw_49p14Gg7lWmn6NIuzO5oCu3vYIjhvsvaUz6tRmgMrjCetUcEbRiFJphZ8dvhEOMPzCbclEZCt-_OGQc1mm7H-LeOFsWKlODTeKxH3iN44OOo_VmIYJOJ7XCo9LZ6asWsINCJ72DgRZx7ndqoEA0dEurOVrmMk-gkpI8M1G_RsYZYZGSWDnfxMUyvnQ89PoQ41VjGGh5u8aFMd86QVlKgRlRN82G8Jnu_cSf0Azau6bOT7BULX0Qmtiri72bOYx8s-sOcND6ioh7LdxBrtGtUwqNprvdgDvJppZMn-K5tnuaqfMYXKyDDa9_1yhixSuXv7Tp6VpY1HdAS1TUFucBoVa2nECy1BgMovWx31c8cR3Nobzq61eK_BeR7s0AXdL0-VKqQ533IR7BM0HjyulCvGmJg48cTv6gnvJ_DWLc5mFrRm6wmLUfFIgBPKw9Gczlh_1dmkK2-l9XjWajpXotZaVFVhqgnZzsD3mk5niwOBkzJ9btv9u-T-RigVL8oV-W63jV67y3NE0E_G1iPHTTImUnhb3DQkB0Ir4ZEBen64WR9xrNKWnHmiIR8gK1BLCdPL2uGFfcmO440IQh4QhFW5pD91ScxXC25ygIv5S-EBPtWZ_A--9LP83sZpbAPRRUfaOXNe3Tee63Q3wkou4FbbH61&xkcb=SoBa-_M3J3w0CTSnSB0BbzkdCdPP&p=10&fvj=0&vjs=3
